site,user,review_target,review,score,max_score
Rotten Tomatoes,Hex x,Dune 2021,"Took me a while to get into it, but as someone who has not read the Dune books, it truly feels like a book. I can see the influence and see how the book must have been like, I definitely plan to read the books at some point. Some of the decisions are a bit sub-par though. They should 100% have had a different cast. Yes, sure, they chose some good actors, but starring Zendaya in something like this is an absolute no. And I LOVE David Batista, but all I could think any time he appeared on screen, is Oh Look David Batista. You have to cast less known actors in big fantasy movies like this, because it just takes the watcher out of the movie, it takes you OUT of the beautiful world building when Zendaya with weird eyes appears on screen every so often. Completely jolts you out of the fantasy and back to ""Oh. Zendaya looks kinda weird in this movie."" or ""haha look its David Batista"".",3.5,5
Rotten Tomatoes, ,Dune 2021,"This might be my favorite movie !
Dune (2021) is a sci-fi movie adapted from a roman directed by Dennis Villeneuve with Timothée chalamet as Paul Atréides  and Zendaya as Chani

In Dune(2021) Paul Atréides follows his very important and powerful family to the desertic planet of Arrakis gifted by the Imperium , where a very important ressource is collected and put on the market, but after an conspiracy and a betrayal Paul have to flee on the planet where he will met the native désert’s people, the Fremen

The actors were chosen perfectly and respected the physical descriptions given in the roman with the exception of some like Liet Kynes who was played by a woman. I also loved the makeup art on the Harkonnen family and the Eyes of Ibad

The film technique were amazing ! I think we cannot represent Arrakis better than they did , the lighting were very good on the desert and the pictures and ambiance were perfect 
The soundtrack by Hans Zimmer was flawless !
I really loved the costumes, from the Paul outfit on Caladan or Jessica outfit on the Arrakis arrival to the distille and Harkonnen Armor
And that’s why this movie won 6 oscars for 10 nominations

Dune explore theme like ecology power and colonialism.The film shows how the struggle for the rare ressource spice touch political, economic, and cultural conflicts, mirroring real-world tensions over oil and natural resources.  And my favorite theme is religion because its a big interest to me at this moment in my life, i love debatting about religion, learning about the story of religion so i absolutly loved the religion thème and everything its brings to the story 

Finally i really recommend to the movie watcher to try to read dune !!! Even though the adaptation is perfect in therm of cinematography i think the plot is very hard to fully understand and the movie miss a lot of scene and aspect of the story . So as a lover of Dune universe i fully recommend the book before watching the movie !",5,5
Rotten Tomatoes,xpig332 B,Dune 2021,"Extremely slow & boring, most action occurs in the dark and is hard to see. I was 2 hours into it before it grabbed my interest then was very anticlimactic.",1.5,5
Rotten Tomatoes,Frans B,Dune 2021,"Exceptional, wildly fantastic and never a dull moment. Truly spectacular in every possible way a movie can be. Cast all excels in character, cinematography out of this world. Worth the wait, for sure.",5,5
Rotten Tomatoes,Darcy J,Dune 2021,"EPIC SCALE MOVIE
CGI WAS AMAZING, as well as the score, acting, plot, and cinematography.
the movie overstayed its welcome a little bit, with some scenes dragging out the film to its colossal 2:30 runtime. this being said, the movie was great and i would definitely recommend to any drama or sci fi lovers.",4,5
Rotten Tomatoes, ,Dune 2021,Um espetáculo. Na minha opinião um dos melhores filmes dos últimos anos.,5,5
Rotten Tomatoes,Shalonda B,Dune 2021,"I've watched 👀 this movie at least ten times, that should say Everything!!!",5,5
Rotten Tomatoes,Stefano T,Dune 2021,"Not bad. I still prefer the classic one from 1984 though (which I've just rewatched). I can't make comparisons with the books because I didn't read them, so I don't know how much the films differ from the original story. I can only make a comparison with the first film and I definitely liked more the characters of that one. I've found them having more personality. In this one I find the characters more ""flat"". It's still not bad though, good special effects and interesting lore",3,5
Rotten Tomatoes,Brad F,Dune 2021,"A slogfest of a story, without any exciting moments to consider this movie memorable. The 1.5 stars are for the fact that the movie is undeniably beautiful with incredible sound. Feels like this movie was made to set up for the vastly superior second chapter.",1.5,5
Rotten Tomatoes,Paul S,Dune 2021,"This was absolutely incredible! The story was well told and compelling, and the visuals were some of the best I've ever seen in a space sci-fi. I definitely recommend it for sci-fi fans!",5,5
Rotten Tomatoes, ,Dune 2021,"The plot, though unhurried, twist into a tense and rattling spring, which shoots at the end of the movie, breaking off the narrative at the most intense and promising point. At the end I was pretty sure that the filmmakers will do 2-3 more movies to tell the Dune (the  first book) story. 
The closeness of the plot to the original book story gives a good credit to the film makers. 
While Oscar plays the role of Duke Leto perfectly, Zendaya either does not fit into the role of Chani, or does not cope with it ...",4,5
Rotten Tomatoes,Rico L,Dune 2021,A big yes to the movie the director did a good job with this film really amazing how this unfolds,5,5
Rotten Tomatoes,Rese C,Dune 2021,This is a great movie for people who love long story telling and sci- fi,4.5,5
