site,user,review_target,review,score,max_score
Rotten Tomatoes,Yasmine Kandil,Dune 2021,"With a tone and narrative that feels like a melting pot of some of the most beloved franchises in popular culture, it is not far-fetched to think that Dune could become the next big thing.",4,5
Rotten Tomatoes,Paul Emmanuel Enicola,Dune 2021,"The “Dune” series has long been considered a landmark of science fiction. Fortunately, Denis Villeneuve’s astute direction in laying the right foundations only shows his respect for Frank Herbert’s work.",A-,A+
Rotten Tomatoes,Rebecca Long,Dune 2021,"While Villeneuve's version makes more of an effort than Lynch's to explore some of Dune's meatier themes, like colonization, it fails to nail the environmental ideas.",B+,A+
Rotten Tomatoes,Sarah Vincent,Dune 2021,"Villeneuve’s “Dune” is the cinematic equivalent of a meditation garden: gorgeous to watch with its characters’ polished skin, smooth stonelike spaceships, sand enveloped landscapes, sunlight",B+,A+
Rotten Tomatoes,Amy Smith,Dune 2021,"It would be enough of a cinematic experience with just the visuals, but the technical elements within the sound are award-worthy.",A+,A+
Rotten Tomatoes,Alan French,Dune 2021,"Few movies showcase this scale, and once again, Villeneuve proves himself one of the best filmmakers alive. However, some early pacing issues and the two-part nature make Dune feel somewhat incomplete.",8,10
Rotten Tomatoes,David Hogan,Dune 2021,"Dune’s first half lived up to the hype as a mix of political intrigue, sci-fi storytelling and a large selection of really interesting characters, all with great visuals and sound design to match.",5,5
Rotten Tomatoes,Dave Giannini,Dune 2021,"There are even moments that surpass the novel, especially the relationship between Leto and Paul, mainly due to a heartfelt speech from Oscar Isaac...",5,5
Rotten Tomatoes,Lauren Veneziani,Dune 2021,Director Denis Villeneuve never misses and succeeds again in this adaptation with incredible performances especially from Timothee Chalamet and Rebecca Ferguson.,5,5
Rotten Tomatoes,Rick Bentley,Dune 2021,The end result is a movie worthy of the source material.,3.5,4
Rotten Tomatoes,Serena Seghedoni,Dune 2021,"an incredibly well-crafted adaptation that's faithful to the source material while also breathing new life into it, and an immersive, epic cinematic journey that will absolutely leave you aching for more.",4,5
Rotten Tomatoes,Greg Carlson,Dune 2021,"Villeneuve’s Dune: Part One is a worthy addition to the collection, besting the Lynch film in certain ways but still flummoxed and frustrated by the source material’s conversation-heavy downside.",4,5
Rotten Tomatoes,Rebecca Johnson,Dune 2021,"Dune is a masterful sci-fi blockbuster that is going to please the majority of its audience. The visuals are crying out to be seen on the biggest screen possible, easily becoming the movies standout.",4,5
Rotten Tomatoes,Zach Pope,Dune 2021,A true cinematic treasure that will be cherished for decades to come & gave me the same feeling that I got watching A New Hope for the first time. This is Epic to the highest of standards & I need more right now.,A+,A+
